制定本班组计划	,	10	,	管理类
用电检查	,	20	,	稽查类
0.4kV客户表计的配送、送检工作	,	30	,	维修类
计量装置巡视	,	40	,	巡视类
电能表安装	,	50	,	业扩类
电费催收	,	60	,	电费类
制定本班组计划	,	70	,	管理类
配合现场工作人员做好采集系统调试工作	,	80	,	维修类
制定本班组计划	,	90	,	管理类
更换0.4kV接户线	,	100	,	维修类
校验10kV避雷器	,	110	,	测试类
0.4kV线路巡视	,	120	,	巡视类
低压业扩现场勘查	,	130	,	业扩类
工程施工	,	140	,	工程类
制定本班组计划	,	150	,	管理类
对磁卡用户（居民、工业、农业）售电	,	160	,	电费类
回访客户	,	170	,	服务类
制定安全管理计划	,	180	,	管理类
制定月、周营销计划	,	190	,	管理类
营业普查	,	200	,	稽查类
计量装置更换	,	10	,	维修类
业扩工程新装0.4kV集装箱	,	20	,	业扩类
电费电量核算审核	,	30	,	电费类
制定月、周营销计划	,	40	,	管理类
县局监控中心派单处理	,	50	,	维修类
制定月、周生产计划	,	60	,	管理类
更换0.4kV线路导线	,	70	,	维修类
摇测10KV线路接地电阻	,	80	,	测试类
10kV线路巡视	,	90	,	巡视类
低压业扩施工	,	100	,	业扩类
抢修工作	,	110	,	工程类
制定月、周工作计划	,	120	,	管理类
负责受理客户直接缴费	,	130	,	电费类
协调特殊客户上门服务	,	140	,	服务类
制定月、周工作计划	,	150	,	管理类
电费单据审核、发放管理	,	160	,	管理类
用电宣传	,	170	,	稽查类
更换电流互感器	,	180	,	维修类
业扩工程验收送电	,	190	,	业扩类
提取欠费明细	,	200	,	电费类
表计更换资料整理	,	10	,	管理类
更换低压智能卡表模块	,	20	,	维修类
档案资料整理	,	30	,	管理类
更换0.4kV线路拉线	,	40	,	维修类
遥测10kV配变接地电阻	,	50	,	测试类
线路清扫	,	60	,	巡视类
低压业扩工程验收送电	,	70	,	业扩类
档案资料整理	,	80	,	管理类
各种缴费系统应用	,	90	,	电费类
接受95598供电服务热线转来的客户报修	,	100	,	服务类
档案资料整理	,	110	,	管理类
用电宣传管理工作	,	120	,	管理类
数据复核	,	130	,	稽查类
三相电流不平衡测定	,	140	,	维修类
临时用电安装	,	150	,	业扩类
配合计量检查	,	160	,	管理类
生产MIS系统	,	170	,	管理类
更换0.4kV线路耐张杆横担	,	180	,	维修类
线路的对地距离、交叉跨越距离的测试	,	190	,	测试类
违章建筑	,	200	,	巡视类
农排配电变压器拆除、回迁	,	10	,	业扩类
办理新增用户业扩申请	,	20	,	管理类
到银行交取单日收取电费（磁卡表）	,	30	,	电费类
接受客户咨询、报修、投诉、举报等	,	40	,	服务类
安技品试验合格	,	50	,	管理类
电费电价管理	,	60	,	管理类
反窃电	,	70	,	稽查类
0.4kV表计轮校	,	80	,	维修类
临时用电拆除	,	90	,	业扩类
0.4kV客户表计的配送、送检工作	,	100	,	管理类
完善供电设施台帐	,	110	,	管理类
更换0.4kV线路直线杆横担	,	120	,	维修类
树木清理	,	130	,	巡视类
签订供用电合同	,	140	,	管理类
电费账目入账核算	,	150	,	电费类
意见簿、意见箱汇总分析	,	160	,	服务类
安技品的出入库管理	,	170	,	管理类
用电资料管理	,	180	,	管理类
线损管理	,	190	,	稽查类
0.4kV及10kV表计故障处理	,	200	,	维修类
计量表计的出入库管理	,	10	,	管理类
定期开展安全活动	,	20	,	管理类
更换0.4kV线路绝缘子	,	30	,	维修类
属地化巡视	,	40	,	巡视类
业扩资料整理完善	,	50	,	管理类
发放征求客户意见书	,	60	,	服务类
作业现场安全管理落实	,	70	,	管理类
封印钳管理	,	80	,	管理类
经营分析	,	90	,	稽查类
0.4kV及10kV表箱更换	,	100	,	维修类
表计的运行监控	,	110	,	管理类
春季、秋季线路检修预试	,	120	,	管理类
0.4kV杆基护坡加固	,	130	,	维修类
负责供用电档案资料的管理	,	140	,	管理类
SG186系统智能电能表流程维护	,	150	,	服务类
消防器材管理	,	160	,	管理类
SG186系统数据维护	,	170	,	管理类
配合计量检查	,	180	,	稽查类
0.4kV表计安装后加封	,	190	,	维修类
计量故障追度计算	,	200	,	管理类
消防器材定期检查	,	10	,	管理类
0.4kV线路杆基调整、扶正、培土	,	20	,	维修类
业务量的汇总、分析、存档	,	30	,	管理类
低压用户新装业扩	,	40	,	服务类
安全教育培训工作	,	50	,	管理类
定期开展重要用电客户走访座谈	,	60	,	管理类
表计自抄核对	,	70	,	稽查类
0.4kV及10kV表箱锁具维护	,	80	,	维修类
用电信息数据的采集、监测、分析	,	90	,	管理类
对供电区域内电力设备评级	,	100	,	管理类
调整0.4kV线路导线弧垂	,	110	,	维修类
农村营业网点运营	,	120	,	管理类
低压用户用电性质变更	,	130	,	服务类
供电所各项安全预案编制	,	140	,	管理类
实时线损采集、监测、分析	,	150	,	管理类
现场抄表工作	,	160	,	管理类
更换0.4kV电能表	,	170	,	维修类
异常数据的传递	,	180	,	管理类
架空线路标识牌安装	,	190	,	管理类
更换0.4kV线路电杆	,	200	,	维修类
计量表计需求统计	,	10	,	管理类
办理临时用电	,	20	,	服务类
安规考试工作	,	30	,	管理类
稽查工单回复	,	40	,	管理类
表计核对	,	50	,	稽查类
0.4kV电能表进、出线断线连接	,	60	,	维修类
计量管理工作计划的编制及落实	,	70	,	管理类
电压监测仪日常巡视维护	,	80	,	管理类
0.4kV架空导线断线连接	,	90	,	维修类
高压用户合同档案维护	,	100	,	管理类
购电卡补写卡	,	110	,	服务类
三级安全网责任制落实监督	,	120	,	管理类
SG186异常电量稽查管理	,	130	,	稽查类
低压采集的现场工作	,	140	,	维修类
低压电能计量装置的台账管理	,	150	,	管理类
施工工器具定期检查试验	,	160	,	管理类
0.4kV接户线、进户线断线连接	,	170	,	维修类
用户购电卡补卡	,	180	,	服务类
供电所三种人统计上报	,	190	,	管理类
设备、线路巡视维护工作	,	200	,	维修类
低压用电信息采集设备台账管理	,	10	,	管理类
备品备件及时补充	,	20	,	管理类
0.4kV线路、设备故障抢修	,	30	,	维修类
各项重点保电预案落实	,	40	,	管理类
实时线损异常台区现场处理	,	50	,	维修类
临时工作	,	60	,	管理类
三票一単一卡管理	,	70	,	管理类
变压器二次出线断线连接	,	80	,	维修类
电力设施保护	,	90	,	管理类
智能表异常跳闸现场处理	,	100	,	维修类
电压质量监测	,	110	,	管理类
更换0.4kV石板闸保险	,	120	,	维修类
用户插卡充值失败现场处理	,	130	,	维修类
供电质量造成用户电器损坏勘察统计	,	140	,	管理类
更换变压器二次出线	,	150	,	维修类
表箱接线、开关日常维护	,	160	,	维修类
供电责任险统计上报	,	170	,	管理类
更换JP柜内空气开关	,	180	,	维修类
电表箱更换位置	,	190	,	维修类
更换配变低压出线电缆	,	200	,	维修类
更换配变低压出线电缆保护管	,	10	,	维修类
更换配变低压出线电缆铜铝接线端子	,	20	,	维修类
更换配电变压器低压电容器	,	30	,	维修类
更换配电变压器计量箱	,	40	,	维修类
更换一级剩余电流动作保护器	,	50	,	维修类
更换二级剩余电流动作保护器	,	60	,	维修类
电表箱更换位置	,	70	,	维修类
更换0.4kV刀闸	,	80	,	维修类
更换0.4kV石板闸 	,	90	,	维修类
更换配电变压器交流接触器	,	100	,	维修类
安装0.4kV电容器	,	110	,	维修类
安装低压JP柜电容器	,	120	,	维修类
10kV杆基护坡加固	,	130	,	维修类
10KV线路杆基调整、扶正、培土	,	140	,	维修类
更换10kV熔断器下引线	,	150	,	维修类
更换10kV线路电杆	,	160	,	维修类
更换10kV线路绝缘子	,	170	,	维修类
更换熔断器熔丝	,	180	,	维修类
更换变压器避雷器	,	190	,	维修类
更换10kV熔断器	,	200	,	维修类
更换10kV熔断器总成	,	10	,	维修类
更换10kV线路避雷器	,	20	,	维修类
更换10kV配变高压引线	,	30	,	维修类
变压器绝缘测试	,	40	,	维修类
10kV配变绝缘油添加	,	50	,	维修类
驱鸟器安装	,	60	,	维修类
停运空运10kV变压器	,	70	,	维修类
投、切电容	,	80	,	维修类
更换10kV线路隔离刀闸	,	90	,	维修类
10kV电容器安装	,	100	,	维修类
95598报抢修服务	,	110	,	维修类
二级剩余电流动作保护器的试跳和测试	,	120	,	维修类
三相电流不平衡调整	,	130	,	维修类
新装二级漏电保护器	,	140	,	维修类
更换二级漏电保护器	,	150	,	维修类
